source_id,title,path_or_url,source_type,captured_at,reviewed,tags,applicability,limitation
source_main_plan,AutoForm multi-agent Vibecoding main plan,VC开发文档/Auto_Autoform思路整理/AutoForm多Agent系统整体任务规划矛盾检查与Vibecoding开发计划.docx,local_docx,2026-06-01T20:48:15+08:00,true,plan;R6;R7;R8;R9;R10;R11,Defines staged delivery requirements and acceptance boundaries,Must be interpreted with current repository implementation evidence
source_permission_matrix,P0 permission matrix,policy/permission_matrix.md,local_markdown,2026-06-02T12:48:09+08:00,true,permission;agent;approval;script;solver,Defines read write and prohibited actions for specialist agents,Does not contain engineering material values
source_schema_index,P0 schema index,schemas/index.md,local_markdown,2026-06-02T16:44:06+08:00,true,schema;RunEvent;TaskCard;ContextPatch;EvidenceBundle,Defines current shared event and object schemas,R6 to R11 specialist schemas are added through payload objects first
source_r12_window_demo,R12 visible window control demo handoff,handoff/2026-06-02_r12_visible_window_control_demo.md,local_markdown,2026-06-02T17:00:47+08:00,true,R12;gui;approval;AutoForm,Shows how guarded execution stays behind explicit approval,Applies to visible window control only
source_r12_project_view_evidence,R12 project view demo evidence,tmp/r12_project_view_demo_live_20260602/evidence_summary.json,local_json,2026-06-02T22:37:00+08:00,true,R12;gui;Solver_R13;view-control,Records Solver_R13 window PID screenshots top view isometric view and image diff summary,Applies to current local desktop evidence only
source_r12_closure_rag_followups,R12 closure and enterprise RAG followups,handoff/2026-06-02_r12_closure_enterprise_rag_followups.md,local_markdown,2026-06-02T22:40:00+08:00,true,R12;R13;R17;enterprise-rag;roadmap,Summarizes R12 closure evidence and separates enterprise process RAG from later executor stages,Depends on current repository docs and extracted DOCX evidence
source_r13_r20_docx_plan_update,R13 to R20 DOCX plan update,handoff/2026-06-02_r13_r20_docx_plan_update.md,local_markdown,2026-06-02T23:10:00+08:00,true,R13;R20;enterprise-rag;runtime;docx,Records the appended DOCX plan reading rule checks and rendering risk,Depends on current user instruction target DOCX and local document scan
source_r13_enterprise_data_contract,R13 enterprise data contract,docs/enterprise_data_contract.md,local_markdown,2026-06-03T00:00:00+08:00,true,R13;R14;enterprise-data;source-whitelist,Defines the metadata first contract whitelist and small batch cleaning boundary,No bulk crawl download or automatic index ingestion
source_r13_catalog_whitelist_handoff,R13 enterprise data catalog whitelist handoff,handoff/2026-06-03_r13_enterprise_data_catalog_whitelist.md,local_markdown,2026-06-03T00:05:00+08:00,true,R13;R14;enterprise-data;source-whitelist;handoff,Summarizes read sources physical assets and validation boundary,Depends on local DOCX readings and repository tests
source_r13_raw_data_staging,R13 raw data staging directory,data/rag/enterprise/raw_data/README.md,local_markdown,2026-06-03T01:05:00+08:00,true,R13;raw-data;source-manifest,Defines raw data staging folder manifest template manual samples and quarantine boundary,Real raw files are ignored and no crawling is implemented
source_r13_raw_data_staging_handoff,R13 raw data staging handoff,handoff/2026-06-03_r13_raw_data_staging.md,local_markdown,2026-06-03T01:10:00+08:00,true,R13;raw-data;handoff,Records staging folder creation read sources and crawl gates,No external crawl or file download was started
source_r13_external_source_review,R13 external source review registry,data/rag/enterprise/source_review_registry.csv,local_csv,2026-06-03T01:20:00+08:00,true,R13;source-review;robots;license,Records candidate external source robots terms rate limit cache and decision status,Metadata only review no crawling or file download
source_r13_external_source_review_handoff,R13 external source review handoff,handoff/2026-06-03_r13_external_source_review.md,local_markdown,2026-06-03T01:25:00+08:00,true,R13;source-review;handoff,Summarizes Crossref arXiv Zenodo NIST and AutoForm candidate source review,Metadata only review with R14 small sample gates
source_r14_arxiv_metadata_sample,R14 arXiv metadata sample,data/rag/enterprise/r14_external_metadata_samples.jsonl,local_jsonl,2026-06-03T03:09:40+00:00,true,R14;arxiv;metadata;small-sample,Records one normalized arXiv Atom API metadata sample with raw response checksum,No PDF source file or batch API collection
source_r14_arxiv_sample_manifest,R14 arXiv sample manifest,data/rag/enterprise/raw_data/manifests/2026-06-03_arxiv_api_metadata_sample_manifest.csv,local_csv,2026-06-03T03:09:40+00:00,true,R14;arxiv;manifest;checksum,Records the request URL local raw response path checksum and collection status,Raw response file is local ignored data and not committed
source_r14_arxiv_metadata_sample_handoff,R14 arXiv metadata sample handoff,handoff/2026-06-03_r14_arxiv_metadata_sample.md,local_markdown,2026-06-03T03:15:00+00:00,true,R14;arxiv;handoff;metadata,Summarizes one arXiv API metadata request manifest checksum and deferred sources,No PDF source file batch API collection or automatic ingestion
source_r14_arxiv_cleaning_report,R14 arXiv metadata cleaning report,data/rag/enterprise/r14_cleaning_reports/arxiv_metadata_sample_cleaning_report.json,local_json,2026-06-03T03:20:00+00:00,true,R14;arxiv;cleaning-report;source-hash,Records cleaned candidate status source hash and zero quarantine count for one arXiv metadata sample,License review still required before R15 knowledge card use
source_r14_arxiv_cleaning_report_handoff,R14 arXiv cleaning report handoff,handoff/2026-06-03_r14_arxiv_cleaning_report.md,local_markdown,2026-06-03T03:25:00+00:00,true,R14;arxiv;handoff;cleaning-report,Summarizes the reproducible cleaning report and remaining license gates,No PDF source file batch API collection or automatic ingestion
source_r15_process_knowledge_schema,R15 ProcessKnowledgeCard schema,schemas/process_knowledge_card.schema.json,local_json,2026-06-03T04:00:00+00:00,true,R15;schema;ProcessKnowledgeCard;knowledge-card,Defines auditable process knowledge card fields for source evidence version applicability parameter windows quality risks and human confirmation,No formal retrieval index admission by schema alone
source_r15_process_knowledge_fixture,R15 process knowledge card fixture,data/rag/enterprise/r15_process_knowledge_cards.sample.json,local_json,2026-06-03T04:00:00+00:00,true,R15;fixture;MaterialCard;OperationRoute;ParameterWindow;ProcessCase;QualityCriteria,Records candidate cards rebuilt from R14 cleaning outputs including an arXiv license gate card,All cards remain candidate catalog only or review gated
source_r15_process_knowledge_module,R15 process knowledge helper module,autoform_agent/process_knowledge.py,local_python,2026-06-03T04:00:00+00:00,true,R15;generator;validator;formal-index-gate,Builds and validates candidate process knowledge cards from cleaned records and cleaning reports,Does not fetch data ingest indexes or approve engineering parameters
source_r15_process_knowledge_handoff,R15 process knowledge cards handoff,handoff/2026-06-03_r15_process_knowledge_cards.md,local_markdown,2026-06-03T04:10:00+00:00,true,R15;handoff;review;tests,Summarizes read DOCX sources card assets validation results and R16 gates,Depends on local R14 sample records and license review remaining open
source_r16_process_rag_schema,R16 process RAG EvidenceBundle schema,schemas/process_rag_evidence_bundle.schema.json,local_json,2026-06-03T05:00:00+00:00,true,R16;schema;EvidenceBundle;retrieval-run,Defines R16 EvidenceBundle fields for filters source refs evidence refs card refs ranking exclusions conflict status and review gates,Schema does not authorize formal engineering writes or solver execution
source_r16_process_rag_eval_queries,R16 process RAG eval queries,data/rag/enterprise/r16_process_rag_eval_queries.jsonl,local_jsonl,2026-06-03T05:00:00+00:00,true,R16;eval;permission;expired;license-gate,Records retrieval evaluation cases for hit permission filter no result license gate and expired cards,Small deterministic eval set only
