source_id,title,path_or_url,source_type,source_group,access_mode,capture_policy,allowed_actions,prohibited_actions,license_status,permission_level,review_status,owner,version,applicability,limitation,evidence_refs
source_enterprise_rag_plan_doc,RAG process database plan,VC开发文档/Auto_Autoform思路整理/02_RAG工艺数据库详细架构计划与任务目标.docx,local_docx,project_plan,local_read_only,metadata_only,catalog_metadata;manual_excerpt,bulk_crawl;bulk_download;auto_ingest,internal_project_file,P1,reviewed,autoform_agent,2026-06-01T18:14:07+08:00,R13 to R16 source registration card schema retrieval and EvidenceBundle planning,Planning evidence only no engineering values,source_r13_r20_docx_plan_update
source_enterprise_main_plan_doc,AutoForm multi-agent Vibecoding main plan,VC开发文档/Auto_Autoform思路整理/AutoForm多Agent系统整体任务规划矛盾检查与Vibecoding开发计划.docx,local_docx,project_plan,local_read_only,metadata_only,catalog_metadata;manual_excerpt,bulk_crawl;bulk_download;auto_ingest,internal_project_file,P1,reviewed,autoform_agent,2026-06-02T23:04:44+08:00,R13 to R20 staged plan and acceptance boundaries,Planning evidence only no engineering values,source_r13_r20_docx_plan_update
source_enterprise_context_plan_doc,Context structure plan,VC开发文档/Auto_Autoform思路整理/02_上下文信息结构体详细架构计划与任务目标.docx,local_docx,context_plan,local_read_only,metadata_only,catalog_metadata;manual_excerpt,bulk_crawl;bulk_download;auto_ingest,internal_project_file,P1,reviewed,autoform_agent,2026-06-01T18:14:07+08:00,ContextView ContextPatch and audit fields for enterprise data flow,Planning evidence only no enterprise records,source_r13_r20_docx_plan_update
source_enterprise_process_agent_plan_doc,Process planning agent plan,VC开发文档/Auto_Autoform思路整理/03_工艺规划Agent详细架构计划与任务目标.docx,local_docx,process_agent_plan,local_read_only,metadata_only,catalog_metadata;manual_excerpt,bulk_crawl;bulk_download;auto_ingest,internal_project_file,P1,reviewed,autoform_agent,2026-06-01T18:14:07+08:00,R17 process planning candidate status and EvidenceBundle usage,Planning evidence only no approved process parameter,source_r13_r20_docx_plan_update
source_enterprise_internal_dataset_pending,Enterprise internal dataset placeholder,pending_internal_directory,internal_pending,enterprise_dataset,manual_review_required,metadata_only,catalog_metadata;request_owner_review,bulk_crawl;bulk_download;auto_ingest,pending_internal_permission,P2,candidate,human_reviewer,pending,R13 placeholder for future internal material process case and quality data,No data ingestion until owner permission source hash and confidentiality are confirmed,source_r13_r20_docx_plan_update
source_public_literature_candidate,Public literature candidate registry,pending_url_registry,candidate_online_catalog,public_literature,metadata_only_until_r14,metadata_only,catalog_metadata;review_license_and_permission,bulk_crawl;bulk_download;auto_ingest,pending_license_review,P1,candidate,human_reviewer,pending,R13 metadata only list for future literature and standards candidates,No web crawling or file download in R13,source_r13_r20_docx_plan_update
source_crossref_rest_metadata,Crossref REST API metadata,https://api.crossref.org/v1,public_metadata_api,public_literature,metadata_only_until_r14,metadata_only,catalog_metadata;review_license_and_permission;manual_sample_after_review,bulk_crawl;bulk_download;auto_ingest,metadata_api_terms_reviewed_item_license_unresolved,P1,candidate,autoform_agent,2026-06-03T15:37:55+08:00,DOI metadata discovery for sheet metal forming stamping material and CAE literature; R21 public API rows=3 sample,Metadata only; public REST API sampled once without DOI landing page or full text followup; repeated polite-pool use needs a project contact email,source_r13_external_source_review;source_r21_controlled_small_batch_collection
source_arxiv_api_metadata,arXiv API metadata,https://export.arxiv.org/api/query,public_metadata_api,public_literature,metadata_only_until_r14,metadata_only,catalog_metadata;review_license_and_permission;manual_sample_after_review,bulk_crawl;bulk_download;auto_ingest,metadata_cc0_fulltext_license_varies_rate_limited_current,P1,candidate,autoform_agent,2026-06-03T17:26:29+08:00,Preprint metadata discovery for RAG and materials modeling methods,Metadata only; respect one request per three seconds and single connection; R21 API retry returned HTTP 429 so no new arXiv metadata sample was collected,source_r13_external_source_review;source_r21_controlled_small_batch_collection;source_r21_arxiv_api_metadata_expansion_blocked
source_zenodo_records_metadata,Zenodo records metadata,https://zenodo.org,public_repository,public_dataset,metadata_only_until_r14,metadata_only,catalog_metadata;review_license_and_permission;manual_sample_after_review,bulk_crawl;bulk_download;auto_ingest,metadata_cc0_terms_reviewed_api_access_403_current,P1,candidate,autoform_agent,2026-06-03T16:50:36+08:00,Dataset metadata discovery for candidate materials process and simulation records,"Metadata may be reusable under CC0 per Zenodo terms, but robots and API returned 403 in this environment again; no R21 Zenodo sample retained",source_r13_external_source_review;source_r21_public_process_chain_expansion;source_r21_zenodo_blocked_current_check
source_nist_materials_data_repository,NIST Materials Data Repository,https://materialsdata.nist.gov,public_repository,public_dataset,metadata_only_until_r14,metadata_only,catalog_metadata;review_license_and_permission;manual_sample_after_review,bulk_crawl;bulk_download;auto_ingest,record_license_varies_terms_reviewed_oai_metadata_sampled,P1,candidate,autoform_agent,2026-06-03T16:24:48+08:00,Materials and simulation tool metadata discovery for candidate material process and simulation records; R21 OAI GetRecord sample count=3,Metadata only; DSpace JSON API returned empty responses and OAI ListRecords response was too large to retain; no data files or landing pages downloaded,source_r13_external_source_review;source_r21_nist_mdr_materials_metadata_expansion
